,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Micronesia (Federated States of)","Data source","All types","2.05","1.97","1.63","1.73","1.90","2.03","3.16","2.79","2.83","2.23"
"Mongolia","Data source","All types","4.64","4.14","3.61","3.44","2.73","1.68","1.39","1.42","0.92","2.01"
"Montenegro","Data source","All types","7.26","6.94","5.69","6.53","","","","","",""
"Morocco","Data source","All types","0.62","0.57","0.56","0.58","0.53","0.56","0.58","0.46","0.46","0.45"
"Mozambique","Data source","All types","0.74","0.76","0.69","0.60","0.62","0.59","1.69","2.19","2.14","1.17"
"Myanmar","Data source","All types","0.86","0.78","0.72","0.65","0.62","0.62","0.59","0.14","0.12","0.11"
"Namibia","Data source","All types","7.87","6.16","5.00","4.84","4.74","4.55","5.04","4.84","4.87","5.50"
"Nauru","","All types","2.01","2.54","2.24","2.16","1.91","2.29","1.94","2.79","2.71","5.19"
"Nauru","Data source","All types","2.01","2.54","2.24","2.16","1.91","2.29","1.94","2.79","2.71","5.19"
"Nepal","Data source","All types","0.22","0.21","0.20","0.20","0.23","0.23","0.20","0.19","0.09","0.08"
"Netherlands","Data source","All types","9.22","9.61","9.51","9.78","9.67","9.56","9.56","9.68","9.95","10.06"
"New Zealand","Data source","All types","9.23","9.47","9.19","9.35","9.33","9.17","8.93","9.10","8.70","8.84"
"Nicaragua","Data source","All types","3.32","3.58","3.77","3.63","3.64","3.75","3.72","3.46","3.48","3.58"
"Niger","Data source","All types","0.10","0.11","0.10","0.10","0.10","0.10","0.10","0.09","0.09","0.09"
"Nigeria","Data source","All types","10.49","10.71","10.98","11.09","11.16","11.25","11.25","11.02","11.10","11.40"
"Niue","Data source","All types","7.06","7.02","5.02","7.10","6.22","6.80","8.27","5.16","9.17","7.42"
"Norway","Data source","All types","6.68","6.75","6.60","6.47","6.37","6.22","6.04","5.89","5.49","5.67"
"Oman","Data source","All types","0.53","0.54","0.54","0.56","0.62","0.61","0.56","0.54","0.55","0.38"
"Pakistan","Data source","All types","0.03","0.03","0.03","0.03","0.04","0.01","0.01","0.01","0.01","0.02"
"Panama","Data source","All types","6.90","6.74","6.15","5.73","5.55","5.72","5.55","5.55","5.47","5.61"
"Papua New Guinea","Data source","All types","0.82","0.81","0.71","0.64","0.84","0.58","0.59","0.61","0.68","0.74"
"Paraguay","Data source","All types","6.64","7.69","6.66","6.51","5.98","5.62","4.76","5.02","5.82","6.18"
"Peru","Data source","All types","5.18","5.14","4.70","4.67","4.96","4.70","4.75","4.06","4.22","4.87"
"Philippines","Data source","All types","4.37","4.18","4.16","4.06","4.21","4.43","4.43","4.40","4.54","4.73"
"Poland","Data source","All types","10.70","11.40","10.90","10.40","9.50","9.19","9.06","8.02","7.74","8.40"
"Portugal","Data source","All types","12.03","12.35","12.59","13.12","13.34","13.47","14.21","13.23","13.41","13.08"
"Puerto Rico","Data source","All types","4.76","4.87","5.06","5.26","5.35","5.30","5.50","5.85","6.06","6.28"
"Qatar","Data source","All types","1.08","1.34","1.20","1.24","1.16","1.11","1.00","0.87","0.76","0.50"
"Republic of Korea","Data source","All types","8.97","9.31","9.05","8.83","9.03","9.18","9.66","9.55","11.45","10.33"
"Republic of Moldova","Data source","All types","7.77","8.35","8.94","7.72","10.16","11.77","7.76","6.44","10.78","9.77"
"Romania","Data source","All types","11.77","13.11","11.60","10.29","9.95","9.82","8.78","9.62","9.78","10.16"
"Russian Federation","Data source","All types","11.25","12.09","12.23","11.83","11.59","11.50","11.32","10.87","10.47","10.18"
"Rwanda","Data source","All types","7.35","7.57","7.89","8.85","9.31","7.90","8.73","9.27","9.40","8.82"
"Saint Kitts and Nevis","Data source","All types","9.68","10.07","10.14","10.80","10.03","9.14","8.54","8.29","8.55","8.41"
"Saint Lucia","Data source","All types","10.83","11.82","12.43","13.22","12.10","11.64","12.55","11.85","12.02","11.69"
"Saint Vincent and the Grenadines","Data source","All types","6.84","6.91","5.88","5.92","6.03","5.42","5.10","4.94","4.73","4.80"
"Samoa","Data source","All types","2.88","3.97","3.85","3.52","3.63","3.62","4.16","3.29","3.42","3.00"
"Sao Tome and Principe","Data source","All types","4.31","4.53","4.29","5.63","5.50","5.94","6.73","5.99","5.20","5.68"
"Saudi Arabia","Data source","All types","0.08","0.08","0.10","0.07","0.05","0.06","0.05","0.05","0.05","0.05"
"Senegal","Data source","All types","0.30","0.28","0.32","0.35","0.33","0.35","0.34","0.36","0.35","0.29"
"Serbia","Data source","All types","8.60","8.61","8.72","8.52","","","","","",""
"Seychelles","Data source","All types","5.53","6.76","7.49","7.01","8.40","7.15","7.36","7.84","7.09","8.17"
"Sierra Leone","Data source","All types","4.06","4.02","3.97","3.92","3.95","4.13","4.23","4.23","4.40","4.14"
"Singapore","Data source","All types","1.72","1.69","1.59","1.55","1.49","1.44","1.43","2.16","2.08","2.02"
"Slovakia","Data source","All types","10.69","11.43","10.63","10.31","10.83","10.03","9.85","10.78","10.73","11.06"
"Slovenia","Data source","All types","10.52","10.94","11.02","12.26","11.19","10.01","11.55","9.87","11.58","12.80"
"Solomon Islands","Data source","All types","1.20","1.07","0.82","1.01","1.13","1.21","1.20","1.09","0.70","0.71"
"Somalia","Data source","All types","0","0","0","0","0","0","0","0","0","0"
"South Africa","Data source","All types","8.03","8.60","8.83","8.78","8.94","8.04","8.22","8.40","8.67","8.85"
"Spain","Data source","All types","9.99","10.24","11.05","11.86","11.92","11.68","11.35","10.74","12.35","11.84"
"Sri Lanka","Data source","All types","2.05","2.10","2.29","1.96","1.97","1.56","1.69","1.62","1.68","1.45"
"Sudan","Data source","All types","1.99","2.01","2.01","1.90","1.55","1.59","1.74","1.59","1.81","1.76"
"Suriname","Data source","All types","5.14","4.96","4.74","4.54","4.50","4.58","4.56","4.44","4.26","4.32"
"Sweden","Data source","All types","7.30","6.90","6.90","6.50","6.50","6.60","6.90","6.90","6.60","6.20"
"Switzerland","Data source","All types","10.15","10.29","10.44","10.24","10.15","10.55","10.82","10.85","11.12","11.26"
"Syrian Arab Republic","Data source","All types","0.75","0.74","0.74","0.75","0.78","0.60","0.86","0.90","0.94","0.92"
"Tajikistan","Data source","All types","0.68","0.59","0.59","0.63","0.76","0.82","0.88","0.94","0.94","0.91"
"Thailand","Data source","All types","6.74","7.54","6.14","6.12","6.21","5.80","5.95","5.72","5.75","5.40"
"The former Yugoslav republic of Macedonia","Data source","All types","3.90","4.27","4.04","4.01","4.58","3.94","3.91","4.49","4.60","4.86"
"Timor-Leste","Data source","All types","0.09","0.06","0.05","0.04","0.36","0.39","0.44","0.48","0.50","0.50"
