,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Trinidad and Tobago","Data source","All types","7.52","6.87","6.88","6.68","6.68","6.50","6.50"
"Tunisia","Data source","All types","1.40","1.42","1.49","1.40","1.39","1.28","1.27"
"Turkey","Data source","All types","1.29","1.40","1.44","1.40","1.53","1.51","1.49"
"Turkmenistan","Data source","All types","3.43","3.39","3.85","3.88","3.70","3.56","3.55"
"Tuvalu","Data source","All types","","","","1.63","1.91","1.34","1.02"
"Uganda","Data source","All types","","7.63","7.67","7.58","8.30","11.59","11.30"
"Ukraine","Data source","All types","5.82","5.75","6.22","7.11","8.18","8.77","8.81"
"United Arab Emirates","Data source","All types","2.10","2.03","1.94","1.86","1.79","1.76","1.70"
"United Kingdom of Great Britain and Northern Ireland","Data source","All types","9.81","9.82","9.69","9.65","9.76","10.02","10.22"
"United Republic of Tanzania","Data source","All types","","6.16","6.16","6.20","5.84","6.62","6.65"
"United States of America","Data source","All types","","8.78","8.77","8.81","8.86","8.66","8.56"
"Uruguay","Data source","All types","","9.03","9.06","8.70","8.47","8.75","8.52"
"Uzbekistan","Data source","All types","1.60","1.61","1.51","1.56","1.52","1.77","1.79"
"Vanuatu","Data source","All types","","0.85","0.86","0.98","1.04","0.85","0.91"
"Venezuela (Bolivarian Republic of)","Data source","All types","3.87","5.98","6.41","6.66","6.65","6.70","7.18"
"Viet Nam","Data source","All types","3.10","2.92","2.74","2.66","2.50","2.37","2.18"
"Yemen","Data source","All types","","0.04","0.04","0.04","0.04","0.04","0.05"
"Zambia","Data source","All types","","2.89","2.93","2.81","2.96","2.93","2.95"
"Zimbabwe","Data source","All types","","3.55","3.44","3.34","3.45","3.34","2.92"
